primary_hgnc_id	secondary_hgnc_id	primary_symbol	secondary_symbol
HGNC:11357	NA	STAM	STAM1
HGNC:49568	NA	STAM-DT	locus3182
HGNC:11358	NA	STAM2	Hbp
HGNC:16950	NA	STAMBP	AMSH
HGNC:24105	NA	STAMBPL1	AMSH-LP
HGNC:24105	NA	STAMBPL1	KIAA1373
HGNC:24105	NA	STAMBPL1	AMSH-FP
HGNC:24105	NA	STAMBPL1	FLJ31524
HGNC:24105	NA	STAMBPL1	ALMalpha
HGNC:24105	NA	STAMBPL1	bA399O19.2
HGNC:24133	NA	STAP1	STAP-1
HGNC:24133	NA	STAP1	BRDG1
HGNC:30430	NA	STAP2	STAP-2
HGNC:30430	NA	STAP2	BKS
HGNC:11359	NA	STAR	STARD1
HGNC:17579	NA	STARD3	es64
HGNC:17579	NA	STARD3	MLN64
HGNC:19169	NA	STARD3NL	MENTHO
HGNC:19169	NA	STARD3NL	MGC3251
HGNC:18065	NA	STARD5	MGC10327
HGNC:18063	NA	STARD7	GTT1
HGNC:19161	NA	STARD8	KIAA0189
HGNC:19161	NA	STARD8	ARHGAP38
HGNC:19162	NA	STARD9	KIAA1300
HGNC:19162	NA	STARD9	KIF16A
HGNC:10666	NA	STARD10	NY-CO-28
HGNC:10666	NA	STARD10	CGI-52
HGNC:10666	NA	STARD10	PCTP2
HGNC:19164	NA	STARD13	GT650
HGNC:19164	NA	STARD13	DLC2
HGNC:19164	NA	STARD13	ARHGAP37
HGNC:11360	NA	STARP1	STARD1P1
HGNC:11362	NA	STAT1	STAT91
HGNC:11362	NA	STAT1	ISGF-3
HGNC:11363	NA	STAT2	STAT113
HGNC:11364	NA	STAT3	APRF
HGNC:11366	NA	STAT5A	MGF
HGNC:11368	NA	STAT6	D12S1644
HGNC:11368	NA	STAT6	IL-4-STAT
HGNC:11369	NA	STATH	STR
HGNC:11370	NA	STAU1	PPP1R150
HGNC:11371	NA	STAU2	39K2
HGNC:24854	NA	STBD1	FLJ41801
HGNC:24854	NA	STBD1	GENX-3414
HGNC:11374	NA	STC2	STC-2
HGNC:11378	NA	STEAP1	PRSS24
HGNC:17885	NA	STEAP2	IPCA-1
HGNC:17885	NA	STEAP2	STAMP1
HGNC:17885	NA	STEAP2	STMP
HGNC:24592	NA	STEAP3	TSAP6
HGNC:24592	NA	STEAP3	dudlin-2
HGNC:24592	NA	STEAP3	STMP3
HGNC:21923	NA	STEAP4	FLJ23153
HGNC:21923	NA	STEAP4	TIARP
HGNC:21923	NA	STEAP4	STAMP2
HGNC:21923	NA	STEAP4	SchLAH
HGNC:26239	NA	STEEP1	FLJ22965
HGNC:18839	NA	STH	MAPTIT
HGNC:10879	NA	STIL	MCPH7
HGNC:11386	NA	STIM1	GOK
HGNC:11386	NA	STIM1	D11S4896E
HGNC:30526	NA	STIMATE	MGC52022
HGNC:27962	NA	STING1	FLJ38577
HGNC:27962	NA	STING1	NET23
HGNC:27962	NA	STING1	ERIS
HGNC:27962	NA	STING1	MPYS
HGNC:27962	NA	STING1	STING
HGNC:27962	NA	STING1	MITA
HGNC:11387	NA	STIP1	HOP
HGNC:11387	NA	STIP1	STI1
HGNC:11406	NA	STK3	MST2
HGNC:11406	NA	STK3	KRS1
HGNC:11408	NA	STK4	MST1
HGNC:11408	NA	STK4	KRS2
HGNC:11408	NA	STK4	YSK3
HGNC:11388	NA	STK10	LOK
HGNC:11388	NA	STK10	PRO2729
HGNC:11389	NA	STK11	PJS
HGNC:11389	NA	STK11	LKB1
HGNC:19184	NA	STK11IP	LIP1
HGNC:19184	NA	STK11IP	KIAA1898
HGNC:19184	NA	STK11IP	LKB1IP
HGNC:19184	NA	STK11IP	STK11IP1
HGNC:11394	NA	STK16	PKL12
HGNC:11394	NA	STK16	MPSK
HGNC:11395	NA	STK17A	DRAK1
HGNC:11396	NA	STK17B	DRAK2
HGNC:11398	NA	STK19	D6S60
HGNC:11398	NA	STK19	G11
HGNC:11398	NA	STK19	RP1
HGNC:21668	NA	STK19B	bPG116M5.10
HGNC:21668	NA	STK19B	RP2
HGNC:11403	NA	STK24	MST-3
HGNC:11403	NA	STK24	MST3
HGNC:11403	NA	STK24	MST3B
HGNC:11403	NA	STK24	STK3
HGNC:11403	NA	STK24	STE20
HGNC:11404	NA	STK25	SOK1
HGNC:11404	NA	STK25	YSK1
HGNC:18174	NA	STK26	MST4
HGNC:18174	NA	STK26	MASK
HGNC:11407	NA	STK31	TDRD8
HGNC:11407	NA	STK31	SgK396
HGNC:28317	NA	STK32A	MGC22688
HGNC:28317	NA	STK32A	YANK1
HGNC:53468	NA	STK32A-AS1	CTC-255N20
HGNC:14217	NA	STK32B	STKG6
HGNC:14217	NA	STK32B	YANK2
HGNC:14217	NA	STK32B	STK32
HGNC:14217	NA	STK32B	HSA250839
HGNC:21332	NA	STK32C	PKE
HGNC:21332	NA	STK32C	MGC23665
HGNC:21332	NA	STK32C	YANK3
HGNC:26871	NA	STK33P1	STK33ps
HGNC:16254	NA	STK35	bA550O8.2
HGNC:16254	NA	STK35	CLIK1
HGNC:17209	NA	STK36	KIAA1278
HGNC:17209	NA	STK36	FU
HGNC:17847	NA	STK38	NDR
HGNC:17847	NA	STK38	NDR1
HGNC:17848	NA	STK38L	KIAA0965
HGNC:17848	NA	STK38L	NDR2
HGNC:17717	NA	STK39	DCHT
HGNC:17717	NA	STK39	SPAK
HGNC:21373	NA	STK40	MGC4796
HGNC:21373	NA	STK40	SgK495
HGNC:28669	NA	STKLD1	MGC43306
HGNC:28669	NA	STKLD1	SGK071
HGNC:6510	NA	STMN1	SMN
HGNC:6510	NA	STMN1	OP18
HGNC:6510	NA	STMN1	PR22
HGNC:6510	NA	STMN1	PP19
HGNC:6510	NA	STMN1	PP17
HGNC:6510	NA	STMN1	Lag
HGNC:6510	NA	STMN1	FLJ32206
HGNC:10577	NA	STMN2	SCG10
HGNC:15926	NA	STMN3	SCLIP
HGNC:16078	NA	STMN4	RB3
HGNC:44668	NA	STMND1	FLJ23152
HGNC:41909	NA	STMP1	PL-5283
HGNC:41909	NA	STMP1	Mm47
HGNC:26200	NA	STN1	FLJ22559
HGNC:26200	NA	STN1	bA541N10.2
HGNC:3383	NA	STOM	BND7
HGNC:14560	NA	STOML1	hUNC-24
HGNC:14560	NA	STOML1	SLP-1
HGNC:14560	NA	STOML1	STORP
HGNC:14560	NA	STOML1	FLJ36370
HGNC:14559	NA	STOML2	SLP-2
HGNC:14559	NA	STOML2	HSPC108
HGNC:19420	NA	STOML3	SRO
